material,ROI (days),net profit per day,build cost per day,gross income per day,repair costs per day,input costs per day,consumable costs per day
BCO,30.000000008014265,8922.172844841487,267665.1854167493,81509.34594154649,1405.5982769606244,65573.52556581111,5608.049253933265
BGC,30.000000009130787,8922.172844509427,267665.1854167493,89763.43832047119,1405.5982769606244,73827.61794506788,5608.049253933265
BID,30.00000011518167,18283.074467336588,548492.2361259727,1992968.0038924222,3167.134319159412,1966657.4857525174,4860.30935340883
BMF,30.000000003407195,42454.66914663614,1273640.0745437355,156309.64932217592,7358.24309819918,100792.01511395829,5704.7219633823115
BSC,30.00000000710985,26701.951100003935,801058.533189965,176870.4291084268,3445.0196803444696,141101.72237452224,5621.735953556141
BWS,30.000000003827942,42454.66914604072,1273640.0745437355,170904.070103831,7358.24309819918,115386.4358962088,5704.7219633823115
HD,30.000000002277663,42851.10445716502,1285533.133812551,118003.82111677683,7358.24309819918,63297.08479856772,4497.388762844914
HOG,30.000000002610143,18283.07453594171,548492.2361259727,124479.39153415486,3167.134319159412,98168.8733256449,4860.30935340883
HPC,30.000000009841717,42454.66913753029,1273640.0745437355,423160.61037770554,7358.24309819918,367642.97617859376,5704.7219633823115
MHP,30.00000000616708,18283.074533773983,548492.2361259727,120249.11425769377,3167.134319159412,93938.59605135155,4860.30935340883
RAD,30.000000013249753,18283.07452945755,548492.2361259727,241137.87433722653,3167.134319159412,214827.35613520074,4860.30935340883
SAR,30.000000003701565,42454.66914621956,1273640.0745437355,168093.12175562064,7358.24309819918,112575.48754781959,5704.7219633823115
CU,33.75120574037285,10248.534989395617,345900.4129645014,41347.00369817812,1624.5792784598807,25198.650655327165,4275.23877499546
FE,33.751205740008736,10248.534989506183,345900.4129645014,37829.20212305693,1624.5792784598807,21680.849080095406,4275.23877499546
NL,30.00000000227891,9103.4730845448,273104.19255708996,27527.725724772645,1064.925724580549,12648.565542343355,4710.7613733039425
SIL,30.00000000222683,9103.473084560603,273104.19255708996,29293.52891526818,1064.925724580549,14414.368732823086,4710.7613733039425
TK,30.000000011465332,9103.473081757187,273104.19255708996,131870.89788372678,1064.925724580549,116991.7377040851,4710.7613733039425
DCL,30.00000000734476,12740.771665096321,382223.15004646755,117234.33503136065,2207.5337865489937,94434.76062420876,7851.268955506572
DCM,30.000000006697398,12740.77166537125,382223.15004646755,103046.47512296346,2207.5337865489937,80246.90071553664,7851.268955506572
SF,33.36487752815637,10445.887514371772,348525.7575899119,57741.514402727276,1265.3104204073902,39728.759049131215,6301.557418816899
HCB,30.00000140730819,9914.494749587317,297434.85644036916,12301868.865879145,1181.8427654993998,12286056.292310905,4716.236053153093
