planet,material,total cost,repair cost,input cost,desired profit,base recipe cost
KW-688c,H2O,11.226068314307426,0.9259861468687464,0.0,1296.9825516599635,2.036571347645354
KW-688c,O,26.020591281348562,2.1548399292240976,0.0,1296.9825516599635,5.280000139872237
KW-688c,SIO,38.03327693829424,2.8748103081703182,0.0,1296.9825516599635,8.146285390581417
KW-602a,LST,1182.4023302200458,190.31802561272036,0.0,1296.9825516599635,108.6319410373733
KW-602a,HE,592.6648794603442,102.75789852608331,0.0,1296.9825516599635,49.733344717008066
KW-602a,HAL,655.6383964038814,105.53075034641995,0.0,1296.9825516599635,60.2360717664771
KW-602b,ALO,119.19975117616042,20.5731020510071,0.0,1296.9825516599635,9.57128579326075
KW-602d,GAL,1770.7305578315606,208.90010489839554,0.0,1296.9825516599635,170.625645315929
ZV-194h,O,105.06986811455053,11.624143493604407,0.0,1296.9825516599635,8.700009995685328
LS-300b,HAL,129.7427567958922,22.392756273426844,0.0,1296.9825516599635,10.417848969028423
LS-300g,O,535.1324909154388,59.20305197023065,0.0,1296.9825516599635,44.31011576891442
LS-300f,SCR,119.94249062245798,14.150091193710411,0.0,1296.9825516599635,11.557526227094906
ZV-759i,AMM,147.2058354020853,14.43401120700874,0.0,1296.9825516599635,12.305868907653819
ZV-759h,H,739.8422070908476,81.21891270464042,0.0,1296.9825516599635,64.73420704081556
ZV-759g,H,66.30478878709451,6.502781678831196,0.0,1296.9825516599635,6.314647079579905
RC-796a,HAL,221.4767796483863,38.22545218991987,0.0,1296.9825516599635,17.783741439635644
RC-796a,H,991.5594664648166,183.79064146211184,0.0,1296.9825516599635,71.68154145649589
RC-796h,HE3,230.31737716341087,22.58816667592182,0.0,1296.9825516599635,21.934659316259125
RC-796c,H,622.2162998247942,81.76581768880396,0.0,1296.9825516599635,87.73842001148518
RC-796c,BOR,169.13538454506158,20.35217157151138,0.0,1296.9825516599635,25.781509912532226
RC-796d,SCR,962.2339658743208,90.32057429526284,0.0,1296.9825516599635,109.23976271020801
RC-796d,BOR,109.19400685131941,10.249550273826223,0.0,1296.9825516599635,12.396493805928426
RC-796g,N,50.55391383229732,5.592906502074089,0.0,1296.9825516599635,4.185972282581491
RC-796f,H,1547.200196179074,151.74024792543491,0.0,1296.9825516599635,147.35018961751484
RC-796b,LST,58.63771785023984,10.120488855621144,0.0,1296.9825516599635,4.708385296709232
XH-556a,GAL,143.10442752918507,16.882596728256896,0.0,1296.9825516599635,13.789384944389987
XH-556a,H,999.9647621186737,123.63950734710683,0.0,1296.9825516599635,99.50255069098057
XH-556a,BOR,124.39697362096062,14.675604215180412,0.0,1296.9825516599635,11.986755300262935
XH-556f,O,250.53005458301794,26.678770421896264,0.0,1296.9825516599635,19.61213540043673
XH-556b,HAL,637.9656445210333,75.26333663390344,0.0,1296.9825516599635,61.47366650694488
XH-556e,AMM,256.2557667133889,30.231508859710935,0.0,1296.9825516599635,24.692523302328038
XH-556e,SIO,976.6543836220802,115.2197900949863,0.0,1296.9825516599635,94.10934019245634
XH-556d,CLI,83.76915004359363,9.882578777420498,0.0,1296.9825516599635,8.071902989723334
XH-556d,MGS,46.89075397628964,5.531888169596693,0.0,1296.9825516599635,4.518341382413727
XH-556c,SIO,1687.1600942682335,158.3661292852969,0.0,1296.9825516599635,191.53862250593886
XH-556c,N,180.66233245905107,16.54251168648346,0.0,1296.9825516599635,22.21172117405559
XH-556c,CLI,62.649891168955826,5.880663487880745,0.0,1296.9825516599635,7.11246899177843
DW-161a,CLI,762.7135730153,131.63940376135827,0.0,1296.9825516599635,61.2429934936684
DW-161b,O,144.6888591651599,25.296415846095474,0.0,1296.9825516599635,12.399141112372144
DW-161b,BOR,148.96711445205602,24.158762898667003,0.0,1296.9825516599635,14.103606214420878
DW-161b,MAG,2005.4554942378556,325.23502900174975,0.0,1296.9825516599635,189.8684463031642
DW-161d,AMM,1556.9734953447507,152.66631801271205,0.0,1296.9825516599635,130.15728401030927
DW-161c,HE,180.3286087815608,22.29652603267967,0.0,1296.9825516599635,17.943788837422854
DW-161c,H,1568.3846709608522,193.921141418522,0.0,1296.9825516599635,156.0637745820072
DW-161c,AMM,1201.5242060562662,141.7485746620246,0.0,1296.9825516599635,115.7775484894304
SE-110c,H2O,22.39540785869713,3.157821038709686,0.0,1296.9825516599635,1.8799121568668546
SE-110f,H,138.20819843321019,15.172315793865153,0.0,1296.9825516599635,12.092846347998291
SE-110d,FEO,38.78557272489953,3.6406272560754314,0.0,1296.9825516599635,4.403218875357112
SE-110d,AMM,1647.2843809422757,154.62317543439926,0.0,1296.9825516599635,187.01164298108924
DW-835b,HAL,802.5568333448972,138.51609144499486,0.0,1296.9825516599635,64.44225547019956
DW-835b,SIO,2243.237938606715,387.1682833250466,0.0,1296.9825516599635,180.12345831963484
DW-835d,HAL,273.2401554113734,32.23522453793869,0.0,1296.9825516599635,26.329120281508782
DW-835a,HAL,270.60014440628936,43.555466610369265,0.0,1296.9825516599635,24.86109692153444
PD-754a,FEO,46.2852173158449,7.506311677982163,0.0,1296.9825516599635,4.382097894375648
PD-754f,F,304.51243974037436,29.864779759396736,0.0,1296.9825516599635,29.000749772037224
PD-754c,HAL,1014.9037503799764,175.16578870756044,0.0,1296.9825516599635,81.49290373251785
PD-754e,SIO,72.50576973138955,8.553793142404775,0.0,1296.9825516599635,6.9865760743952245
PD-754e,BOR,140.30521713667017,16.5523627793126,0.0,1296.9825516599635,13.519656115525809
BS-658a,AMM,260.96176074096866,30.786693634528696,0.0,1296.9825516599635,25.145987701108176
BS-658b,FEO,40.02740892929243,4.722192141067439,0.0,1296.9825516599635,3.8569970166713334
BS-658b,H,931.7705805096791,115.20771521054093,0.0,1296.9825516599635,92.71681656370775
BS-658h,F,621.5465724600427,60.957613135782736,0.0,1296.9825516599635,59.19402384660996
BS-658h,H,653.993248142137,64.1397912563104,0.0,1296.9825516599635,62.28413708859485
BS-658i,O,1124.9104523249828,110.30113059981359,0.0,1296.9825516599635,94.03839543010875
BS-658g,O,1019.1957261328868,99.93545767363719,0.0,1296.9825516599635,85.20103135024686
BS-658d,GAL,860.7803602288619,80.79758066668434,0.0,1296.9825516599635,97.72201526015333
BS-658d,HAL,972.4862155553636,91.28290685870425,0.0,1296.9825516599635,110.40367228118775
